subhalo_id,simulation,snapshot,redshift,n_stellar_particles,n_disk_particles,M_star_Msun,R_d_kpc,aperture_R_in_kpc,aperture_R_out_kpc,A1_literature,A2_literature,A1_integral_area,A1_integral_jog,A2_integral_area,A2_integral_jog,A1_bootstrap_mean,A1_bootstrap_std,A2_bootstrap_mean,A2_bootstrap_std,dominant_mode,bar_length_kpc,bar_angle_deg,pattern_coherence,phase_scatter_m2_deg,bar_length_bootstrap_mean,bar_length_bootstrap_std,v_max_kms,R_v_max_kpc
392276,L35n2160TNG,99,2.22045e-16,1554996,1347440,8.87747e+10,1.84969,nan,nan,0.0130613,0.0788664,0.0133741,0.012739,0.0703845,0.0863938,0.0148849,0.00274878,0.0791554,0.00295246,2,2.4375,-39.7994,1,25.7781,5.87063,5.26766,223.704,5.93307
394621,L35n2160TNG,99,2.22045e-16,1191769,964060,6.92327e+10,3.47076,nan,nan,0.0569429,0.129119,0.0569948,0.0569639,0.134859,0.126019,0.0580555,0.00348477,0.129732,0.00336975,2,4.6875,36.5948,0.0344828,67.5615,14.8125,0,211.974,11.03
419618,L35n2160TNG,99,2.22045e-16,1111842,806451,6.41125e+10,1.91425,nan,nan,0.0359711,0.189544,0.0372984,0.0343219,0.182242,0.198535,0.0376244,0.00505729,0.189924,0.00590693,2,14.8125,-44.1063,0.636364,35.213,14.8125,0,121.622,15.0177
422754,L35n2160TNG,99,2.22045e-16,1603520,1146792,9.22159e+10,2.16569,nan,nan,0.0246287,0.222899,0.0257519,0.0239459,0.226142,0.221726,0.0263219,0.00328059,0.223799,0.0033561,2,2.0625,65.593,0.625,57.8816,9.29813,3.75521,205.391,5.54766
440407,L35n2160TNG,99,2.22045e-16,1574787,1076439,9.14534e+10,3.27975,nan,nan,0.0474165,0.0298009,0.0510855,0.046201,0.0305108,0.0295626,0.048777,0.00318377,0.0325486,0.00315711,2,2.0625,-2.56957,1,41.3259,8.49,6.21257,203.411,7.91
443049,L35n2160TNG,99,2.22045e-16,1405590,1090425,8.01861e+10,2.14869,nan,nan,0.0181708,0.21668,0.0178181,0.0185352,0.214868,0.218541,0.0213705,0.00375026,0.216477,0.0041054,2,4.6875,60.8221,1,48.5456,4.68187,0.0793504,201.022,4.83928
444134,L35n2160TNG,99,2.22045e-16,835498,679201,4.90047e+10,2.71477,nan,nan,0.0419138,0.0973166,0.0449492,0.0409283,0.0940309,0.098241,0.0448576,0.00454813,0.0989337,0.00503714,2,3.9375,-27.8031,0,61.4615,14.3063,0.297056,171.383,14.15
446665,L35n2160TNG,99,2.22045e-16,976373,782258,5.59125e+10,2.71428,nan,nan,0.0634083,0.0291354,0.067386,0.0633712,0.0292664,0.0291561,0.0670463,0.00673345,0.0376534,0.00566794,2,2.4375,29.9377,1,38.1413,6.4575,5.48874,195.777,12.59
449658,L35n2160TNG,99,2.22045e-16,1236902,743368,7.2406e+10,2.15515,nan,nan,0.0218439,0.209836,0.0226548,0.0212225,0.20185,0.215902,0.025166,0.00462386,0.210341,0.00530494,2,3.9375,79.7208,1,68.7046,4.08375,0.182906,83.7873,6.86164
454171,L35n2160TNG,99,2.22045e-16,1310523,1216617,7.57096e+10,3.55491,nan,nan,0.0296588,0.0749626,0.0299332,0.02938,0.0747897,0.075434,0.0314432,0.00275358,0.0755148,0.0026779,2,3.9375,41.0198,1,44.8094,3.96,0.0890576,231.503,9.47
